Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,later_date,rpm_null,rpm_x_torque,discrete_torque,discrete_air_temp,air_temp_process_temp,wear_squared,year,month,day,dayofweek,hour
298.1,308.6,1551.0,42.8,0.0,0.0,0.0,0.0,66382.79999999999,41.85,297.75,1.0352230795035222,0.0,2001.0,12.0,1.0,5.0,0.0
298.2,308.7,1408.0,46.3,3.0,0.0,0.0,0.0,65190.399999999994,41.85,297.75,1.0352112676056338,9.0,2001.0,12.0,1.0,5.0,1.0
298.1,308.5,1498.0,49.4,5.0,0.0,0.0,0.0,74001.2,41.85,297.75,1.0348876216034886,25.0,2001.0,12.0,1.0,5.0,2.0
298.2,308.6,1433.0,39.5,7.0,0.0,0.0,0.0,56603.5,41.85,297.75,1.034875922199866,49.0,2001.0,12.0,1.0,5.0,3.0
298.2,308.7,1408.0,40.0,9.0,0.0,0.0,0.0,56320.0,41.85,297.75,1.0352112676056338,81.0,2001.0,12.0,1.0,5.0,4.0
298.1,308.6,1425.0,41.9,11.0,0.0,1.0,0.0,59707.5,41.85,297.75,1.0352230795035222,121.0,2011.0,12.0,1.0,3.0,5.0
298.1,308.6,1558.0,42.4,14.0,0.0,0.0,0.0,66059.2,41.85,297.75,1.0352230795035222,196.0,2001.0,12.0,1.0,5.0,6.0
298.1,308.6,1527.0,40.2,16.0,0.0,0.0,0.0,61385.4,41.85,297.75,1.0352230795035222,256.0,2001.0,12.0,1.0,5.0,7.0
298.3,308.7,1667.0,28.6,18.0,0.0,0.0,0.0,47676.200000000004,41.85,297.75,1.0348642306402949,324.0,2001.0,12.0,1.0,5.0,8.0
298.5,309.0,1741.0,107.8,21.0,0.0,0.0,0.0,187679.8,120.5,297.75,1.035175879396985,441.0,2001.0,12.0,1.0,5.0,9.0
298.4,308.9,1782.0,23.9,24.0,0.0,0.0,0.0,42589.799999999996,41.85,297.75,1.0351876675603218,576.0,2001.0,12.0,1.0,5.0,10.0
298.6,309.1,1423.0,44.3,29.0,0.0,0.0,0.0,63038.899999999994,41.85,297.75,1.0351640991292699,841.0,2001.0,12.0,1.0,5.0,11.0
298.6,309.1,1339.0,51.1,34.0,0.0,0.0,0.0,68422.90000000001,41.85,297.75,1.0351640991292699,1156.0,2001.0,12.0,1.0,5.0,12.0
298.6,309.2,1742.0,30.0,37.0,0.0,0.0,0.0,52260.0,41.85,297.75,1.0354989953114533,1369.0,2001.0,12.0,1.0,5.0,13.0
298.6,309.2,2035.0,19.6,40.0,0.0,0.0,0.0,39886.0,41.85,297.75,1.0354989953114533,1600.0,2001.0,12.0,1.0,5.0,14.0
298.6,309.2,1542.0,48.4,42.0,0.0,0.0,0.0,74632.8,41.85,297.75,1.0354989953114533,1764.0,2001.0,12.0,1.0,5.0,15.0
298.6,309.2,1311.0,46.6,44.0,0.0,0.0,0.0,61092.6,41.85,297.75,1.0354989953114533,1936.0,2001.0,12.0,1.0,5.0,16.0
298.7,309.2,1410.0,125.4,47.0,0.0,0.0,0.0,176814.0,120.5,297.75,1.0351523267492468,2209.0,2001.0,12.0,1.0,5.0,17.0
298.8,309.2,1306.0,54.5,50.0,0.0,0.0,0.0,71177.0,41.85,297.75,1.034805890227577,2500.0,2001.0,12.0,1.0,5.0,18.0
298.9,309.3,1632.0,32.5,55.0,0.0,0.0,0.0,53040.0,41.85,297.75,1.0347942455670793,3025.0,2001.0,12.0,1.0,5.0,19.0
298.9,309.3,1375.0,42.7,58.0,0.0,0.0,0.0,58712.50000000001,41.85,297.75,1.0347942455670793,3364.0,2001.0,12.0,1.0,5.0,20.0
298.8,309.3,1450.0,44.8,63.0,0.0,0.0,0.0,64959.99999999999,41.85,297.75,1.035140562248996,3969.0,2001.0,12.0,1.0,5.0,21.0
298.9,309.3,1581.0,30.7,65.0,0.0,0.0,0.0,48536.7,41.85,297.75,1.0347942455670793,4225.0,2001.0,12.0,1.0,5.0,22.0
299.0,309.4,1758.0,105.5,68.0,0.0,0.0,0.0,185469.0,120.5,297.75,1.0347826086956522,4624.0,2001.0,12.0,1.0,5.0,23.0
299.0,309.4,1561.0,37.3,70.0,0.0,0.0,0.0,58225.299999999996,41.85,297.75,1.0347826086956522,4900.0,2001.0,12.0,2.0,6.0,0.0
299.0,309.5,1861.0,23.3,73.0,0.0,0.0,0.0,43361.3,41.85,297.75,1.0351170568561874,5329.0,2001.0,12.0,2.0,6.0,1.0
299.1,309.5,1596.89,39.0,75.0,0.0,0.0,1.0,62257.13600000003,41.85,297.75,1.0347709796054831,5625.0,2001.0,12.0,2.0,6.0,2.0
299.1,309.4,1811.0,24.6,77.0,0.0,0.0,0.0,44550.600000000006,41.85,297.75,1.0344366432631225,5929.0,2001.0,12.0,2.0,6.0,3.0
299.1,309.4,1439.0,44.2,82.0,0.0,0.0,0.0,63603.8,41.85,297.75,1.0344366432631225,6724.0,2001.0,12.0,2.0,6.0,4.0
299.0,309.4,1693.0,30.1,84.0,0.0,0.0,0.0,50959.3,41.85,297.75,1.0347826086956522,7056.0,2001.0,12.0,2.0,6.0,5.0
299.1,309.5,1339.0,128.0,86.0,0.0,0.0,0.0,171392.0,120.5,297.75,1.0347709796054831,7396.0,2001.0,12.0,2.0,6.0,6.0
299.0,309.4,1798.0,105.3,89.0,0.0,0.0,0.0,189329.4,120.5,297.75,1.0347826086956522,7921.0,2001.0,12.0,2.0,6.0,7.0
299.0,309.4,1419.0,48.3,91.0,0.0,0.0,0.0,68537.7,41.85,297.75,1.0347826086956522,8281.0,2001.0,12.0,2.0,6.0,8.0
298.9,309.3,1665.0,32.5,93.0,0.0,0.0,0.0,54112.5,41.85,297.75,1.0347942455670793,8649.0,2001.0,12.0,2.0,6.0,9.0
298.8,309.1,1559.0,34.7,95.0,0.0,0.0,0.0,54097.3,41.85,297.75,1.034471218206158,9025.0,2001.0,12.0,2.0,6.0,10.0
298.8,309.2,1452.0,48.6,98.0,0.0,0.0,0.0,70567.2,41.85,297.75,1.034805890227577,9604.0,2001.0,12.0,2.0,6.0,11.0
298.9,309.2,1581.0,36.7,101.0,0.0,0.0,0.0,58022.700000000004,41.85,297.75,1.0344596855135497,10201.0,2001.0,12.0,2.0,6.0,12.0
298.8,309.1,1439.0,39.2,104.0,0.0,0.0,0.0,56408.8,41.85,297.75,1.034471218206158,10816.0,2001.0,12.0,2.0,6.0,13.0
298.9,309.2,1379.0,50.7,106.0,0.0,0.0,0.0,69915.3,41.85,297.75,1.0344596855135497,11236.0,2001.0,12.0,2.0,6.0,14.0
298.8,309.1,1350.0,52.5,111.0,0.0,0.0,0.0,70875.0,41.85,297.75,1.034471218206158,12321.0,2001.0,12.0,2.0,6.0,15.0
298.8,309.1,1362.0,45.4,113.0,0.0,0.0,0.0,61834.799999999996,41.85,297.75,1.034471218206158,12769.0,2001.0,12.0,2.0,6.0,16.0
