UID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp,later_date,Error,Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure,rpm_null
M14860,298.1,308.6,1551.0,42.8,0,0,No Failure,2001-12-01 00:00:00,False,0,0,1,0,0,0,0,False
L47181,298.2,308.7,1408.0,46.3,3,0,No Failure,2001-12-01 01:00:00,False,0,0,1,0,0,0,0,False
L47182,298.1,308.5,1498.0,49.4,5,0,No Failure,2001-12-01 02:00:00,False,0,0,1,0,0,0,0,False
L47183,298.2,308.6,1433.0,39.5,7,0,No Failure,2001-12-01 03:00:00,False,0,0,1,0,0,0,0,False
L47184,298.2,308.7,1408.0,40.0,9,0,No Failure,2001-12-01 04:00:00,False,0,0,1,0,0,0,0,False
M14865,298.1,308.6,1425.0,41.9,11,0,No Failure,2011-12-01 05:00:00,True,0,0,1,0,0,0,0,False
L47186,298.1,308.6,1558.0,42.4,14,0,No Failure,2001-12-01 06:00:00,False,0,0,1,0,0,0,0,False
L47187,298.1,308.6,1527.0,40.2,16,0,No Failure,2001-12-01 07:00:00,False,0,0,1,0,0,0,0,False
M14868,298.3,308.7,1667.0,28.6,18,0,No Failure,2001-12-01 08:00:00,False,0,0,1,0,0,0,0,False
M14869,298.5,309.0,1741.0,107.8,21,0,No Failure,2001-12-01 09:00:00,False,0,0,1,0,0,0,0,False
H29424,298.4,308.9,1782.0,23.9,24,0,No Failure,2001-12-01 10:00:00,False,0,0,1,0,0,0,0,False
H29425,298.6,309.1,1423.0,44.3,29,0,No Failure,2001-12-01 11:00:00,False,0,0,1,0,0,0,0,False
M14872,298.6,309.1,1339.0,51.1,34,0,No Failure,2001-12-01 12:00:00,False,0,0,1,0,0,0,0,False
M14873,298.6,309.2,1742.0,30.0,37,0,No Failure,2001-12-01 13:00:00,False,0,0,1,0,0,0,0,False
L47194,298.6,309.2,2035.0,19.6,40,0,No Failure,2001-12-01 14:00:00,False,0,0,1,0,0,0,0,False
L47195,298.6,309.2,1542.0,48.4,42,0,No Failure,2001-12-01 15:00:00,False,0,0,1,0,0,0,0,False
M14876,298.6,309.2,1311.0,46.6,44,0,No Failure,2001-12-01 16:00:00,False,0,0,1,0,0,0,0,False
M14877,298.7,309.2,1410.0,125.4,47,0,No Failure,2001-12-01 17:00:00,False,0,0,1,0,0,0,0,False
H29432,298.8,309.2,1306.0,54.5,50,0,No Failure,2001-12-01 18:00:00,False,0,0,1,0,0,0,0,False
M14879,298.9,309.3,1632.0,32.5,55,0,No Failure,2001-12-01 19:00:00,False,0,0,1,0,0,0,0,False
H29434,298.9,309.3,1375.0,42.7,58,0,No Failure,2001-12-01 20:00:00,False,0,0,1,0,0,0,0,False
L47201,298.8,309.3,1450.0,44.8,63,0,No Failure,2001-12-01 21:00:00,False,0,0,1,0,0,0,0,False
M14882,298.9,309.3,1581.0,30.7,65,0,No Failure,2001-12-01 22:00:00,False,0,0,1,0,0,0,0,False
L47203,299.0,309.4,1758.0,105.5,68,0,No Failure,2001-12-01 23:00:00,False,0,0,1,0,0,0,0,False
M14884,299.0,309.4,1561.0,37.3,70,0,No Failure,2001-12-02 00:00:00,False,0,0,1,0,0,0,0,False
L47205,299.0,309.5,1861.0,23.3,73,0,No Failure,2001-12-02 01:00:00,False,0,0,1,0,0,0,0,False
L47206,299.1,309.5,,39.0,75,0,No Failure,2001-12-02 02:00:00,False,0,0,1,0,0,0,0,True
H29441,299.1,309.4,1811.0,24.6,77,0,No Failure,2001-12-02 03:00:00,False,0,0,1,0,0,0,0,False
L47208,299.1,309.4,1439.0,44.2,82,0,No Failure,2001-12-02 04:00:00,False,0,0,1,0,0,0,0,False
L47209,299.0,309.4,1693.0,30.1,84,0,No Failure,2001-12-02 05:00:00,False,0,0,1,0,0,0,0,False
M14890,299.1,309.5,1339.0,128.0,86,0,No Failure,2001-12-02 06:00:00,False,0,0,1,0,0,0,0,False
L47211,299.0,309.4,1798.0,105.3,89,0,No Failure,2001-12-02 07:00:00,False,0,0,1,0,0,0,0,False
L47212,299.0,309.4,1419.0,48.3,91,0,No Failure,2001-12-02 08:00:00,False,0,0,1,0,0,0,0,False
L47213,298.9,309.3,1665.0,32.5,93,0,No Failure,2001-12-02 09:00:00,False,0,0,1,0,0,0,0,False
M14894,298.8,309.1,1559.0,34.7,95,0,No Failure,2001-12-02 10:00:00,False,0,0,1,0,0,0,0,False
M14895,298.8,309.2,1452.0,48.6,98,0,No Failure,2001-12-02 11:00:00,False,0,0,1,0,0,0,0,False
M14896,298.9,309.2,1581.0,36.7,101,0,No Failure,2001-12-02 12:00:00,False,0,0,1,0,0,0,0,False
L47217,298.8,309.1,1439.0,39.2,104,0,No Failure,2001-12-02 13:00:00,False,0,0,1,0,0,0,0,False
H29452,298.9,309.2,1379.0,50.7,106,0,No Failure,2001-12-02 14:00:00,False,0,0,1,0,0,0,0,False
L47219,298.8,309.1,1350.0,52.5,111,0,No Failure,2001-12-02 15:00:00,False,0,0,1,0,0,0,0,False
L47220,298.8,309.1,1362.0,45.4,113,0,No Failure,2001-12-02 16:00:00,False,0,0,1,0,0,0,0,False
L47221,298.8,309.1,1368.0,130.6,115,0,No Failure,2001-12-02 17:00:00,False,0,0,1,0,0,0,0,False
M14902,298.8,309.1,1368.0,49.1,117,0,No Failure,2001-12-02 18:00:00,False,0,0,1,0,0,0,0,False
H29457,298.8,309.2,1372.0,48.5,120,0,No Failure,2001-12-02 19:00:00,False,0,0,1,0,0,0,0,False
M14904,298.8,309.1,1472.0,47.5,125,0,No Failure,2001-12-02 20:00:00,False,0,0,1,0,0,0,0,False
L47225,298.8,309.1,1489.0,49.1,128,0,No Failure,2001-12-02 21:00:00,False,0,0,1,0,0,0,0,False
M14906,298.7,309.0,1843.0,25.8,130,0,No Failure,2001-12-02 22:00:00,False,0,0,1,0,0,0,0,False
L47227,298.8,309.1,1418.0,46.3,133,0,No Failure,2001-12-02 23:00:00,False,0,0,1,0,0,0,0,False
H29462,282.8,309.2,1425.0,53.9,135,0,No Failure,2001-12-03 00:00:00,False,0,0,1,0,0,0,0,False
M14909,298.9,309.2,1412.0,44.1,140,0,No Failure,2001-12-03 01:00:00,False,0,0,1,0,0,0,0,False
L47230,298.9,309.1,2861.0,4.6,143,1,Power Failure,2001-12-03 02:00:00,False,0,0,0,0,1,0,0,False
L47231,298.9,309.1,1383.0,54.9,145,0,No Failure,2001-12-03 03:00:00,False,0,0,1,0,0,0,0,False
H29466,298.8,309.0,1497.0,43.8,147,0,No Failure,2001-12-03 04:00:00,False,0,0,1,0,0,0,0,False
L47233,298.7,309.0,1565.0,35.1,152,0,No Failure,2001-12-03 05:00:00,False,0,0,1,0,0,0,0,False
L47234,298.7,309.0,1691.0,30.1,154,0,No Failure,2001-12-03 06:00:00,False,0,0,1,0,0,0,0,False
L47235,298.8,309.1,1512.0,40.7,156,0,No Failure,2001-12-03 07:00:00,False,0,0,1,0,0,0,0,False
L47236,298.8,309.1,1477.0,42.4,158,0,No Failure,2001-12-03 08:00:00,False,0,0,1,0,0,0,0,False
L47237,298.8,309.1,1513.0,40.3,160,0,No Failure,2001-12-03 09:00:00,False,0,0,1,0,0,0,0,False
M14918,298.8,309.0,1661.0,29.5,162,0,No Failure,2001-12-03 10:00:00,False,0,0,1,0,0,0,0,False
L47239,298.8,309.1,1378.0,54.4,165,0,No Failure,2001-12-03 11:00:00,False,0,0,1,0,0,0,0,False
L47240,298.8,309.1,1393.0,52.6,167,0,No Failure,2001-12-03 12:00:00,False,0,0,1,0,0,0,0,False
