,Price,Reservation date,Room type,Hotel name
0,27.9,2023-10-18,,Hotel C
1,25.7,2023-10-18,Twin room,Hotel C
2,184.0,2023-10-18,Studio,Hotel D
3,44.9,2023-10-18,Single room,
4,35.0,2023-10-18,Female dorm,Hostel A
5,32.0,2023-10-18,Male dorm,Hostel A
6,38.7,2023-10-18,,
7,35.6,2023-10-18,Twin room,
8,32.4,2023-10-18,Single room,Hotel C
9,28.5,2023-10-18,Large dorm,Hostel B
10,184.0,2023-10-17,Studio,Hotel D
11,26.8,2023-10-17,,Hotel C
12,38.7,2023-10-17,,
13,32.0,2023-10-17,Male dorm,Hostel A
14,35.0,2023-10-17,Female dorm,Hostel A
15,31.1,2023-10-17,Single room,Hotel C
16,24.7,2023-10-17,Twin room,Hotel C
17,35.6,2023-10-17,Twin room,
18,44.9,2023-10-17,Single room,
19,28.8,2023-10-17,Large dorm,Hostel B
20,23.8,2023-10-16,Twin room,Hotel C
21,42.8,2023-10-16,Single room,
22,35.0,2023-10-16,Female dorm,Hostel A
23,30.0,2023-10-16,Single room,Hotel C
24,32.0,2023-10-16,Male dorm,Hostel A
25,36.9,2023-10-16,,
26,28.0,2023-10-16,Large dorm,Hostel B
27,25.9,2023-10-16,,Hotel C
28,33.9,2023-10-16,Twin room,
29,184.0,2023-10-16,Studio,Hotel D
30,30.0,2023-10-15,Single room,Hotel C
31,36.9,2023-10-15,,
32,23.8,2023-10-15,Twin room,Hotel C
33,25.9,2023-10-15,,Hotel C
34,33.9,2023-10-15,Twin room,
35,32.0,2023-10-15,Male dorm,Hostel A
36,29.3,2023-10-15,Large dorm,Hostel B
37,42.8,2023-10-15,Single room,
38,184.0,2023-10-15,Studio,Hotel D
39,35.0,2023-10-15,Female dorm,Hostel A
40,282.0,2023-10-14,Studio,Hotel D
41,37.0,2023-10-14,Single room,Hotel C
42,53.0,2023-10-14,Single room,
43,73.75,2023-10-14,Female dorm,Hostel A
44,31.9,2023-10-14,,Hotel C
45,29.3,2023-10-14,Twin room,Hotel C
46,45.7,2023-10-14,,
47,42.0,2023-10-14,Twin room,
48,63.0,2023-10-14,Male dorm,Hostel A
49,38.6,2023-10-14,Large dorm,Hostel B
50,55.0,2023-10-13,Female dorm,Hostel A
51,238.0,2023-10-13,Studio,Hotel D
52,29.3,2023-10-13,Twin room,Hotel C
53,48.0,2023-10-13,Male dorm,Hostel A
54,38.5,2023-10-13,Large dorm,Hostel B
55,53.0,2023-10-13,Single room,
56,45.7,2023-10-13,,
57,31.9,2023-10-13,,Hotel C
58,42.0,2023-10-13,Twin room,
59,37.0,2023-10-13,Single room,Hotel C
60,29.2,2023-10-12,Large dorm,Hostel B
61,38.8,2023-10-12,Twin room,
62,34.0,2023-10-12,Male dorm,Hostel A
63,28.7,2023-10-12,,Hotel C
64,33.3,2023-10-12,Single room,Hotel C
65,26.4,2023-10-12,Twin room,Hotel C
66,184.0,2023-10-12,Studio,Hotel D
67,49.0,2023-10-12,Single room,
68,42.2,2023-10-12,,
69,37.5,2023-10-12,Female dorm,Hostel A
70,35.6,2023-10-11,Twin room,
71,32.4,2023-10-11,Single room,Hotel C
72,32.0,2023-10-11,Male dorm,Hostel A
73,27.9,2023-10-11,,Hotel C
74,29.0,2023-10-11,Large dorm,Hostel B
75,184.0,2023-10-11,Studio,Hotel D
76,25.7,2023-10-11,Twin room,Hotel C
77,38.7,2023-10-11,,
78,44.9,2023-10-11,Single room,
79,35.0,2023-10-11,Female dorm,Hostel A
80,42.0,2023-10-10,Male dorm,Hostel A
81,24.7,2023-10-10,Twin room,Hotel C
82,31.1,2023-10-10,Single room,Hotel C
83,38.7,2023-10-10,,
84,47.5,2023-10-10,Female dorm,Hostel A
85,184.0,2023-10-10,Studio,Hotel D
86,26.8,2023-10-10,,Hotel C
87,28.8,2023-10-10,Large dorm,Hostel B
88,44.9,2023-10-10,Single room,
89,35.6,2023-10-10,Twin room,
90,36.9,2023-10-09,,
91,23.8,2023-10-09,Twin room,Hotel C
92,42.0,2023-10-09,Male dorm,Hostel A
93,33.9,2023-10-09,Twin room,
94,30.0,2023-10-09,Single room,Hotel C
95,28.0,2023-10-09,Large dorm,Hostel B
96,184.0,2023-10-09,Studio,Hotel D
97,47.5,2023-10-09,Female dorm,Hostel A
98,42.8,2023-10-09,Single room,
99,25.9,2023-10-09,,Hotel C
100,184.0,2023-10-08,Studio,Hotel D
101,55.0,2023-10-08,Female dorm,Hostel A
102,36.9,2023-10-08,,
103,30.0,2023-10-08,Single room,Hotel C
104,25.9,2023-10-08,,Hotel C
105,23.8,2023-10-08,Twin room,Hotel C
106,42.8,2023-10-08,Single room,
107,48.0,2023-10-08,Male dorm,Hostel A
108,29.3,2023-10-08,Large dorm,Hostel B
109,33.9,2023-10-08,Twin room,
110,38.6,2023-10-07,Large dorm,Hostel B
111,42.0,2023-10-07,Twin room,
112,29.3,2023-10-07,Twin room,Hotel C
113,53.0,2023-10-07,Single room,
114,93.0,2023-10-07,Male dorm,Hostel A
115,282.0,2023-10-07,Studio,Hotel D
116,111.25,2023-10-07,Female dorm,Hostel A
117,37.0,2023-10-07,Single room,Hotel C
118,45.7,2023-10-07,,
119,31.9,2023-10-07,,Hotel C
120,48.0,2023-10-06,Male dorm,Hostel A
121,31.9,2023-10-06,,Hotel C
122,37.0,2023-10-06,Single room,Hotel C
123,29.3,2023-10-06,Twin room,Hotel C
124,45.7,2023-10-06,,
125,55.0,2023-10-06,Female dorm,Hostel A
126,42.0,2023-10-06,Twin room,
127,38.5,2023-10-06,Large dorm,Hostel B
