Booking date,Booking ID,Reservation date,Rate plan type,Number of rooms booked,Price
2019-12-31,6e2ab539-8940-4b77-ab17-ab3400e8558a,2019-12-31,Miscellaneous,1,51.64
2019-12-31,78969040-c78e-4e6a-92b9-ab340126bfff,2019-12-31,Miscellaneous,1,66.6
2019-12-30,5ebf260c-2b35-454a-aad8-ab3300ec1bf7,2019-12-31,Miscellaneous,1,66.6
2019-12-30,638c3726-1084-4459-80c8-ab3300ad4817,2019-12-30,Miscellaneous,1,42.3
2019-12-30,0ae71b20-28fd-41e6-a845-ab3300ee5030,2019-12-30,Miscellaneous,1,41.9
2019-12-30,32358b83-a9e7-4dc5-8337-ab330093a082,2019-12-30,Miscellaneous,1,42.66
2019-12-30,2f85b350-3033-403c-a138-ab330100da2c,2019-12-30,Miscellaneous,1,36.57
2019-12-30,27165802-d0e8-42f3-aee5-ab33006616a4,2019-12-30,Miscellaneous,1,36.94
2019-12-30,145b49ff-7bf6-44e9-ade7-ab3300f9f7e9,2019-12-31,Miscellaneous,1,66.6
2019-12-30,6cc26a4d-da11-4b1a-adbf-ab33009edf22,2019-12-30,Miscellaneous,1,45.6
2019-12-30,0ae71b20-28fd-41e6-a845-ab3300ee5030,2019-12-31,Miscellaneous,1,59.2
2019-12-30,2f53a930-028a-4511-92a8-ab3300ee5030,2019-12-30,Miscellaneous,1,41.9
2019-12-30,2f85b350-3033-403c-a138-ab330100da2c,2019-12-31,Miscellaneous,1,51.64
2019-12-30,adaf140a-5324-425f-94d1-ab33009425d9,2019-12-30,Miscellaneous,1,45.05
2019-12-30,5947e02f-be03-4efd-b06d-ab330093b418,2019-12-31,Miscellaneous,1,47.57
2019-12-30,32358b83-a9e7-4dc5-8337-ab330093a082,2019-12-31,Miscellaneous,1,52.95
2019-12-30,5947e02f-be03-4efd-b06d-ab330093b418,2019-12-30,Miscellaneous,1,40.12
2019-12-30,73655531-ed21-43f5-82c5-ab33000d92ba,2019-12-29,Miscellaneous,1,39.2
2019-12-30,33c21463-2961-49cb-be3c-ab3300ee5030,2019-12-30,Miscellaneous,1,41.9
2019-12-30,cfb0f569-5e2b-4293-b8ac-ab3300ee5030,2019-12-30,Miscellaneous,1,41.9
2019-12-30,27165802-d0e8-42f3-aee5-ab33006616a4,2019-12-31,Miscellaneous,1,50.88
2019-12-30,33c21463-2961-49cb-be3c-ab3300ee5030,2019-12-31,Miscellaneous,1,59.2
2019-12-30,2f53a930-028a-4511-92a8-ab3300ee5030,2019-12-31,Miscellaneous,1,59.2
2019-12-30,6cc26a4d-da11-4b1a-adbf-ab33009edf22,2019-12-31,Miscellaneous,1,54.9
2019-12-30,cfb0f569-5e2b-4293-b8ac-ab3300ee5030,2019-12-31,Miscellaneous,1,59.2
2019-12-29,3d24940e-de25-4592-ba3e-ab32007e6592,2019-12-30,Miscellaneous,1,36.94
2019-12-29,c35fa5ee-d6b6-4cb7-b803-ab3200f6d7ac,2019-12-31,Miscellaneous,1,61.3
2019-12-29,7cd5f64b-4dc2-4085-b1fb-ab3201851843,2019-12-31,Miscellaneous,1,50.88
2019-12-29,d1b1c332-1ff7-42bb-80f1-ab3200bc5be0,2019-12-29,Miscellaneous,1,34.2
2019-12-29,37ff7b21-863d-4c9c-8486-ab3200086af4,2019-12-31,Miscellaneous,1,50.88
2019-12-29,97fa9a48-62b7-40f3-bf1a-ab3200f0de3c,2019-12-31,Miscellaneous,1,50.88
2019-12-29,0b329be6-f734-491c-b26d-ab320184e5ca,2019-12-29,Miscellaneous,1,39.2
2019-12-29,eb7013f8-3a1f-4f80-960a-ab32007e6592,2019-12-30,Miscellaneous,1,36.94
2019-12-29,a268610c-ea24-4371-843d-ab3200764553,2019-12-31,Miscellaneous,1,58.3
2019-12-29,0b329be6-f734-491c-b26d-ab320184e5ca,2019-12-30,Miscellaneous,1,42.3
2019-12-29,2b0b4176-3850-4c10-a9c6-ab32007e6592,2019-12-31,Miscellaneous,1,50.88
2019-12-29,d1b1c332-1ff7-42bb-80f1-ab3200bc5be0,2019-12-30,Miscellaneous,1,36.94
2019-12-29,73bf849c-916b-4b70-87c3-ab32009e3e8e,2019-12-29,Miscellaneous,1,39.2
2019-12-29,97fa9a48-62b7-40f3-bf1a-ab3200f0de3c,2019-12-29,Miscellaneous,1,34.2
2019-12-29,b25969ab-9cb1-4fc1-955b-ab3200033819,2019-12-30,Miscellaneous,1,42.3
2019-12-29,c35fa5ee-d6b6-4cb7-b803-ab3200f6d7ac,2019-12-29,Miscellaneous,1,34.2
2019-12-29,0b329be6-f734-491c-b26d-ab320184e5ca,2019-12-31,Miscellaneous,1,58.3
2019-12-29,851449fc-ebf6-40b8-ae4d-ab3200aec9d2,2019-12-31,Miscellaneous,1,50.88
2019-12-29,53e89b1a-37be-4a70-a4bc-ab320184e5ca,2019-12-31,Miscellaneous,1,58.3
2019-12-29,53e89b1a-37be-4a70-a4bc-ab320184e5ca,2019-12-30,Miscellaneous,1,42.3
2019-12-29,37ff7b21-863d-4c9c-8486-ab3200086af4,2019-12-29,Miscellaneous,1,34.2
2019-12-29,9113e4a5-dd94-4358-811e-ab3200086af4,2019-12-30,Miscellaneous,1,36.94
2019-12-29,37ff7b21-863d-4c9c-8486-ab3200086af4,2019-12-30,Miscellaneous,1,36.94
2019-12-29,b25969ab-9cb1-4fc1-955b-ab3200033819,2019-12-29,Miscellaneous,1,39.2
